	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SEC61A1	1723.64017407362	1.08774519729202	0.158706734677725	6.85380616960474	7.19105031037558e-12	3.62258824775372e-10
SNORD127	129.993077242565	3.55513076520428	0.520150341427321	6.83481386448543	8.21115728203097e-12	4.11436062741338e-10
NUP210	1790.06578387754	1.06453139180077	0.156583148007625	6.7985054927426	1.05709983627982e-11	5.26863056699036e-10
CCT7	1086.0237943324	1.24775089244302	0.184738362142363	6.75415153611396	1.43673527323764e-11	7.08537342644035e-10
SPTBN1	5198.14069414729	0.835143963606924	0.123722314641919	6.7501482333565	1.47694183152168e-11	7.24552092217703e-10
CHPF	798.061413886214	1.3868797703959	0.205692700993269	6.7424841216961	1.55701263097754e-11	7.59854601680184e-10
TFRC	4046.74070426243	0.871008973624597	0.12923675100346	6.73963842994842	1.58781255695019e-11	7.70870655887215e-10
RNA5SP358	401.140232235212	2.13241301035772	0.316964894439998	6.7275999574817	1.72484342980349e-11	8.33081594704059e-10
TRPV2	773.880732253266	1.38848925760413	0.206994451265043	6.70785738032298	1.97502815694356e-11	9.49026350285187e-10
KRT8	1420.76766078792	1.15734424552062	0.174546899936112	6.63056316637092	3.34408529405956e-11	1.59867751047643e-09
NPTX2	1215.59426346279	1.16960969805083	0.176846113216803	6.61371447059717	3.74794335072997e-11	1.7826512282406e-09
SNORD89	224.978366063757	2.4834724240971	0.375682342669434	6.61056467666442	3.82856800540879e-11	1.81180213185255e-09
RN7SL3	1471.11982847954	1.09867082502259	0.166581885946746	6.59537991648035	4.24168243738919e-11	1.99721429338375e-09
WFS1	1534.14990493607	1.08018785820271	0.164539372756519	6.56492023827722	5.2060721626128e-11	2.4269102568996e-09
ITPR3	1471.10853248434	1.08763009618858	0.166461686987402	6.53381637464054	6.41145467024560e-11	2.94486913040203e-09
RPLP0	1281.47416145487	1.12994669700638	0.173069669656002	6.52885453154381	6.62745788000679e-11	3.02923318710554e-09
QPCT	732.769444227322	1.3845854411607	0.212171891152678	6.52577225776038	6.765204874592e-11	3.0771829939285e-09
DDOST	869.872709112674	1.30299579927031	0.200571006385779	6.49643147706065	8.22475510141195e-11	3.68736628230765e-09
NPC1	715.66254846336	1.39336148989664	0.214472297423258	6.49669680717252	8.21026897428251e-11	3.68736628230765e-09
GLG1	1271.99167371391	1.12125260108267	0.172905520872366	6.48477038457523	8.88670199636664e-11	3.96516179552169e-09
SNORA79	297.956751739368	1.99404925780226	0.310704427378018	6.41783342010831	1.38227383576634e-10	6.08070696766695e-09
ENSG00000287365	117.048508466967	3.4504735986461	0.53778240962166	6.41611465327319	1.39796179838863e-10	6.12098226677637e-09
LRP5	680.690917564425	1.37949484261044	0.217909734337064	6.3305792501983	2.44242529796353e-10	1.03554411954382e-08
PPIB	832.840558080628	1.31545248554354	0.208561338031794	6.30726911304628	2.84001782531004e-10	1.19869220825023e-08
SNORD59A	858.916663864564	3.82866198216459	0.609906497367318	6.27745728024073	3.44154779837756e-10	1.43321346092434e-08
SNORA11F	169.360576676435	2.61256224214613	0.417084608220579	6.26386634906569	3.75547384573324e-10	1.55702610329736e-08
MT2A	1608.40488877633	1.01756632516708	0.163460370425196	6.22515611900406	4.81076725635139e-10	1.98576604370099e-08
TLN1	2046.49925373479	0.935324580935728	0.150338476196478	6.22145843565256	4.92554652032077e-10	2.02422679365814e-08
SNORD38A	81.6814858919571	4.56141509457467	0.733712616595366	6.21689608629183	5.07085327464968e-10	2.07484258443089e-08
CD151	1444.55220858734	1.041030872318	0.167666174601903	6.20894986594504	5.33398346582507e-10	2.17301848151221e-08
LRRN4	531.053953891315	1.49201155954415	0.241315238296258	6.1828319258995	6.29617396509682e-10	2.55390259969512e-08
ITGB5	1179.13008241098	1.10033326481537	0.178092283499796	6.17844436149659	6.47362944352217e-10	2.6145649950777e-08
VCP	1815.94058109501	0.967119715077002	0.156579573825828	6.17653817446702	6.55223724481571e-10	2.63495549287224e-08
TUFM	586.127373520262	1.44336632793128	0.233716579384577	6.17571218837772	6.58658793661784e-10	2.63744995581663e-08
RNA5SP162	387.789536319303	1.72028466622444	0.279380649621999	6.15749397301489	7.39050550270355e-10	2.94676751320563e-08
TRRAP	1956.15654656328	0.943133177029397	0.153221013008543	6.15537750671845	7.48988678726354e-10	2.97373894901099e-08
SNORA38B	123.44269984568	3.08938821036038	0.503174299932185	6.13979730438688	8.2626844438466e-10	3.26672376535201e-08
RNU4-4P	409.651991084558	1.70619463078974	0.279273445872077	6.10940515830953	1.00003161874596e-09	3.92062605340991e-08
SLC20A1	3220.72212665797	0.830918866004711	0.136164417083281	6.10232014944481	1.04539712845127e-09	4.08140462232851e-08
